,x,y,z,dist
1,38.20221228964663,22.745620402400625,13.739159663056384,0.0
12,38.20221228964663,22.745620402400625,6.3951596630563845,7.343999999999999
4,38.20221228964663,22.74562040240063,21.083159663056385,7.344000000000001
16,40.59728764027722,16.722379597599375,10.067159663056383,7.449791925135968
22,40.59728764027722,16.722379597599375,17.411159663056388,7.44979192513597
5,40.59728764027722,29.878379597599384,17.411159663056388,8.372348754793407
6,40.59728764027722,29.87837959759939,10.067159663056383,8.372348754793412
3,29.446712286577316,23.300379597599374,15.636840336943616,8.975952874678512
18,46.95771232315006,23.30037959759938,15.636840336943614,8.975952904365153
9,31.841787640277214,16.16762040240063,11.96484033694362,9.320584466186832
0,31.84178764027721,29.323620402400635,11.964840336943617,9.320584466186846
10,29.44671228657732,23.300379597599374,8.292840336943616,10.32612861969062
21,46.957712323150055,23.300379597599377,8.292840336943616,10.326128645495631
14,31.841787640277204,16.167620402400626,19.308840336943607,10.711975939544441
2,31.841787640277214,29.323620402400632,19.30884033694361,10.711975939544441
7,29.44671228657731,23.30037959759937,22.980840336943608,12.742652775089852
30,46.95771232315006,23.30037959759938,22.98084033694361,12.742652796001185
40,40.59728764027722,16.72237959759937,24.75515966305638,12.781552007789234
25,31.84178764027721,16.16762040240063,4.620840336943613,12.917771984876794
11,31.841787640277214,29.323620402400646,4.620840336943613,12.917771984876804
45,49.352787673780654,16.16762040240063,11.964840336943617,13.067273031060184
26,49.352787673780654,29.323620402400643,11.964840336943617,13.067273031060195
35,38.20221228964663,9.589620402400632,13.739159663056384,13.155999999999993
8,38.20221228964662,35.90162040240063,13.739159663056386,13.156000000000006
19,40.59728764027722,29.878379597599373,24.75515966305639,13.34034840893935
47,49.352787673780654,16.16762040240063,19.308840336943618,14.093500566088203
27,49.352787673780654,29.323620402400643,19.308840336943618,14.093500566088213
52,38.20221228964663,9.589620402400632,6.3951596630563845,15.067006072873264
43,38.202212289646646,9.589620402400636,21.083159663056392,15.067006072873266
17,38.20221228964661,35.901620402400624,6.395159663056384,15.06700607287327
15,38.202212289646624,35.90162040240063,21.083159663056385,15.067006072873276
50,29.446712286577316,10.144379597599372,15.63684033694361,15.461282031719751
57,46.95771232315006,10.144379597599373,15.636840336943614,15.461282048954148
62,49.352787673780654,16.16762040240063,4.6208403369436155,15.835061184921805
49,49.352787673780654,29.323620402400643,4.6208403369436155,15.835061184921814
59,29.446712286577316,10.144379597599373,8.292840336943618,16.282273929839292
61,46.95771232315006,10.144379597599373,8.292840336943618,16.28227394620469
13,29.44671228964661,36.45637959759937,15.636840336943614,16.37818335160443
37,46.95771232315005,36.45637959759937,15.636840336943614,16.37818336951478
29,23.086287603704474,16.722379597599367,17.411159663056385,16.680952997466854
32,23.086287603704474,16.72237959759937,10.067159663056385,16.680952997466854
23,23.08628760370447,29.878379597599373,17.411159663056385,17.112890370938743
31,23.08628760370447,29.87837959759938,10.067159663056389,17.112890370938743
20,29.44671228964662,36.45637959759939,8.292840336943616,17.15535170612124
41,46.957712323150055,36.45637959759938,8.292840336943614,17.155351723220225
24,20.69121235972279,22.74562040240063,13.73915966305639,17.51099992992384
